iter	RMSE
0	0.3974929293
1	0.3878235937
2	0.378216104
3	0.3686401208
4	0.3586546512
5	0.3491537847
6	0.3404466971
7	0.3322217805
8	0.3240213332
9	0.3161710882
10	0.30915147
11	0.3017255355
12	0.2947050064
13	0.2876049669
14	0.2820627212
15	0.2762873487
16	0.2700019473
17	0.2638390202
18	0.2588264801
19	0.2534827804
20	0.2483804395
21	0.2436159562
22	0.2382873471
23	0.2338474667
24	0.2293140289
25	0.224964077
26	0.2209449334
27	0.2169083267
28	0.2132926205
29	0.2095418346
30	0.2063549766
31	0.2032117159
32	0.2000340436
33	0.1969534323
34	0.194051674
35	0.1910017595
36	0.1880118546
37	0.1853091135
38	0.18257851
39	0.1800883282
40	0.1774247575
41	0.1752146248
42	0.1731175907
43	0.1711993335
44	0.1692310139
45	0.167278497
46	0.1651302451
47	0.1631084357
48	0.1614680454
49	0.1598671386
50	0.1583727577
51	0.156868963
52	0.1554213324
53	0.1539214845
54	0.1525381622
55	0.1511891649
56	0.1499850665
57	0.1487268017
58	0.147736901
59	0.1464918366
60	0.1453576305
61	0.1442038095
62	0.1430399305
63	0.1421026601
64	0.141004088
65	0.1400195654
66	0.1389252106
67	0.1379504347
68	0.1368914616
69	0.1360549106
70	0.1352373054
71	0.1343757261
72	0.1336340465
73	0.1328450889
74	0.1320019793
75	0.1311530748
76	0.130535634
77	0.1297255568
78	0.1290491956
79	0.1284627585
80	0.1278197143
81	0.1270850293
82	0.1264472387
83	0.1256897146
84	0.1250915802
85	0.1245158022
86	0.1239482136
87	0.123196236
88	0.1225285133
89	0.1218083946
90	0.1212331067
91	0.1206441043
92	0.1200853535
93	0.1195863022
94	0.1189758313
95	0.1185034508
96	0.1179745646
97	0.1175137888
98	0.1171204765
99	0.1165953389
100	0.1161464523
101	0.1157072124
102	0.1152345579
103	0.114831422
104	0.1143590995
105	0.1139736413
106	0.1134846616
107	0.1130393865
108	0.1126900512
109	0.1123185385
110	0.1120313989
111	0.1116816116
112	0.1112821872
113	0.1108777696
114	0.1105087779
115	0.1101694165
116	0.1098279195
117	0.1094550422
118	0.1091868449
119	0.1088299454
120	0.1085561242
121	0.1082058852
122	0.1078485398
123	0.1074942183
124	0.1072868962
125	0.1069991407
126	0.1067947
127	0.1065200352
128	0.1062563933
129	0.1060588936
130	0.105813649
131	0.1055795162
132	0.1053300897
133	0.1051887134
134	0.1048845603
135	0.1046358493
136	0.1044839956
137	0.1041851068
138	0.1039702434
139	0.1036377904
140	0.103412485
141	0.1032186363
142	0.1029917959
143	0.1027890908
144	0.1025407734
145	0.102242403
146	0.1020453195
147	0.1018376852
148	0.1016805205
149	0.1014086321
150	0.1011767243
151	0.1009491804
152	0.1007658144
153	0.1005178873
154	0.1003125377
155	0.1000458086
156	0.09976128967
157	0.09969579661
158	0.09963394974
159	0.09948205452
160	0.09927347364
161	0.09909133874
162	0.09889927893
163	0.0986595493
164	0.09847730321
165	0.09822372419
166	0.09814211705
167	0.09809969723
168	0.09801353202
169	0.09767897993
170	0.09756204811
171	0.09750867288
172	0.09718934413
173	0.09690524168
174	0.09683081877
175	0.09663186772
176	0.09640956507
177	0.09628153271
178	0.09604269594
179	0.09579713026
180	0.09550520901
181	0.09528537694
182	0.09497833952
183	0.09484560264
184	0.0947684831
185	0.09461853474
186	0.09456526002
187	0.09431688996
188	0.09425846098
189	0.09403775556
190	0.0939434132
191	0.09370538457
192	0.09343888264
193	0.09338867198
194	0.09310193452
195	0.09283542335
196	0.09277885311
197	0.09271973616
198	0.09255027722
199	0.09236102988
200	0.09214683566
201	0.0918856415
202	0.09183437661
203	0.09178812081
204	0.09172001181
205	0.0916604626
206	0.091615991
207	0.09143226186
208	0.09119364435
209	0.09114611484
210	0.09093876974
211	0.09083577256
212	0.09054555337
213	0.09031651968
214	0.09005497193
215	0.09001742086
216	0.08980688916
217	0.08967451221
218	0.0894024869
219	0.08928983759
220	0.0890202895
221	0.08887517234
222	0.08874028448
223	0.08868396363
224	0.08849508013
225	0.08845457334
226	0.08821440275
227	0.0879154857
228	0.08774959698
229	0.08770593713
230	0.08747320301
231	0.08743316363
232	0.08739220922
233	0.08722596541
234	0.08696707231
235	0.08676362625
236	0.08660311011
237	0.08641168942
238	0.08628969818
239	0.08623527266
240	0.08619984352
241	0.08592600004
242	0.08565467959
243	0.08539379589
244	0.08509488168
245	0.08491710738
246	0.08477382231
247	0.08461196143
248	0.08439937539
249	0.08422528508
250	0.0841894873
251	0.08398410895
252	0.08384749263
253	0.08372964838
254	0.0836787418
255	0.0836360148
256	0.08341757359
257	0.08328522889
258	0.08316643318
259	0.08313349567
260	0.08292189927
261	0.08288995936
262	0.08279653696
263	0.08254273743
264	0.08230027395
265	0.08218587639
266	0.08202209643
267	0.08184760385
268	0.0816187097
269	0.08158863109
270	0.08142988964
271	0.08122718186
272	0.08104628622
273	0.08094025517
274	0.08091024635
275	0.08087970076
276	0.08084983824
277	0.08064534298
278	0.08055750993
279	0.08047596354
280	0.0802610912
281	0.08005821702
282	0.08002991267
283	0.07988083564
284	0.07977663301
285	0.07961779852
286	0.0794637395
287	0.07943720277
288	0.07940598364
289	0.0792649888
290	0.0792393864
291	0.07907049208
292	0.07904324174
293	0.07901870172
294	0.07890700953
295	0.07874455106
296	0.078719489
297	0.07851411155
298	0.07837394379
299	0.0782563265
300	0.07802672709
301	0.07790298823
302	0.07775366146
303	0.0776155592
304	0.07759214618
305	0.07756909884
306	0.07754759269
307	0.07735502533
308	0.07718692982
309	0.0771406259
310	0.07702454017
311	0.07689578766
312	0.07681948958
313	0.07665646943
314	0.0765289986
315	0.07634824645
316	0.07621254732
317	0.07609254142
318	0.0759667494
319	0.07578575243
320	0.07565681896
321	0.07555029596
322	0.07538146596
323	0.07521708901
324	0.07499354508
325	0.07488965926
326	0.07472385405
327	0.07453707238
328	0.074394222
329	0.07422633478
330	0.07418745912
331	0.07415029651
332	0.07402610765
333	0.07387483622
334	0.07365703526
335	0.07354947276
336	0.0735306838
337	0.07332495882
338	0.07322162335
339	0.07311953203
340	0.07298684281
341	0.07295077032
342	0.07293316191
343	0.0728138442
344	0.07270094413
345	0.07257263295
346	0.07240495469
347	0.07231096159
348	0.07229326523
349	0.07214032204
350	0.07200005689
351	0.07176850902
352	0.07161165286
353	0.07137820289
354	0.07126877367
355	0.0711309984
356	0.07101822853
357	0.07093883348
358	0.07092173468
359	0.07083832601
360	0.07067519498
361	0.07056813729
362	0.07053088921
363	0.07031900246
364	0.07030310439
365	0.07016243547
366	0.07013316981
367	0.0701177845
368	0.06995714031
369	0.06984690016
370	0.06960111286
371	0.06949987729
372	0.06942470612
373	0.0693688258
374	0.06919562452
375	0.069120982
376	0.06898700797
377	0.06884023988
378	0.06873739624
379	0.06863614961
380	0.06861512689
381	0.06857258455
382	0.0685590372
383	0.06850740273
384	0.06839788182
385	0.06831286162
386	0.06812668333
387	0.06803733888
388	0.06790843494
389	0.0678618427
390	0.0677533232
391	0.06767599607
392	0.06747581781
393	0.06739139546
394	0.06725696738
395	0.06714095968
396	0.06699796254
397	0.0668195714
398	0.06674825779
399	0.06673399894
400	0.06665092497
401	0.06645948844
402	0.06626868066
403	0.06619107747
404	0.0660966004
405	0.06603380838
406	0.06599201358
407	0.06594881478
408	0.06587273394
409	0.06569185485
410	0.06544208364
411	0.06524346074
412	0.06512579518
413	0.06510002943
414	0.0649578251
415	0.06484478451
416	0.06475005925
417	0.06473472514
418	0.06455501155
419	0.06440409013
420	0.06435170419
421	0.06426906989
422	0.06405610432
423	0.06394825095
424	0.06393542267
425	0.06381774638
426	0.06380551372
427	0.06373588798
428	0.06370936301
429	0.06361747583
430	0.06342309271
431	0.06327795722
432	0.06318207813
433	0.0630892576
434	0.06295431195
435	0.06285957141
436	0.06269657078
437	0.06255355318
438	0.06242042381
439	0.06229335647
440	0.0621844416
441	0.06200431355
442	0.06195529724
443	0.0619388371
444	0.0618287815
445	0.06171745613
446	0.0615579622
447	0.06141199933
448	0.06123803072
449	0.06113874983
450	0.06112684479
451	0.06103081351
452	0.06093539243
453	0.06084636586
454	0.06068757757
455	0.06065452332
456	0.06055986825
457	0.06046278522
458	0.0604079771
459	0.06029027108
460	0.06022046192
461	0.06016048847
462	0.06003812493
463	0.05989888431
464	0.05984262414
465	0.05972746398
466	0.05958474
467	0.05955314615
468	0.05946956777
469	0.05932517218
470	0.05925097842
471	0.05917752
472	0.05911367809
473	0.05896048423
474	0.05883397832
475	0.05879887716
476	0.0586668178
477	0.05851808352
478	0.05846898785
479	0.05835046018
480	0.05834000159
481	0.05821853596
482	0.0580643399
483	0.0580538505
484	0.05804370408
485	0.05796477078
486	0.05795246958
487	0.05783387858
488	0.05771185689
489	0.05759996497
490	0.05747036038
491	0.05741320449
492	0.05738735237
493	0.05727154819
494	0.05717541578
495	0.05712926892
496	0.05702836692
497	0.05689644972
498	0.05683253278
499	0.05674900403
