iter	Passed	Remaining
0	1	1908
1	3	1730
2	4	1647
3	6	1600
4	7	1566
5	9	1539
6	10	1546
7	12	1545
8	14	1544
9	15	1534
10	16	1527
11	18	1524
12	20	1520
13	21	1513
14	22	1507
15	24	1504
16	26	1503
17	27	1504
18	29	1502
19	30	1499
20	32	1497
21	33	1495
22	35	1497
23	36	1496
24	38	1496
25	39	1496
26	41	1496
27	43	1505
28	44	1505
29	46	1507
30	48	1507
31	49	1507
32	51	1506
33	52	1502
34	54	1500
35	55	1496
36	57	1492
37	58	1491
38	60	1491
39	61	1487
40	63	1485
41	65	1483
42	66	1480
43	67	1477
44	69	1474
45	70	1471
46	72	1471
47	74	1469
48	75	1468
49	77	1466
50	78	1463
51	80	1462
52	81	1460
53	83	1459
54	84	1457
55	86	1456
56	88	1457
57	89	1456
58	91	1455
59	92	1453
60	94	1450
61	95	1448
62	97	1446
63	98	1444
64	100	1442
65	101	1440
66	103	1438
67	104	1437
68	106	1435
69	107	1434
70	109	1432
71	111	1431
72	112	1431
73	114	1430
74	115	1428
75	117	1425
76	118	1425
77	120	1423
78	121	1422
79	123	1420
80	125	1418
81	126	1416
82	128	1414
83	129	1412
84	130	1409
85	132	1408
86	134	1407
87	135	1405
88	137	1403
89	138	1401
90	140	1400
91	141	1398
92	143	1395
93	144	1393
94	146	1391
95	147	1388
96	149	1387
97	150	1385
98	152	1383
99	153	1381
100	155	1379
101	156	1379
102	158	1377
103	159	1377
104	161	1376
105	163	1376
106	164	1374
107	166	1372
108	167	1370
109	169	1369
110	171	1370
111	172	1368
112	174	1367
113	175	1366
114	177	1365
115	179	1364
116	180	1364
117	182	1363
118	183	1362
119	185	1361
120	187	1359
121	188	1358
122	190	1356
123	192	1356
124	193	1355
125	195	1353
126	196	1352
127	198	1351
128	199	1349
129	201	1347
130	202	1345
131	204	1342
132	205	1341
133	207	1339
134	208	1337
135	210	1335
136	211	1333
137	213	1331
138	214	1330
139	216	1328
140	217	1326
141	219	1324
142	220	1322
143	222	1321
144	223	1319
145	225	1317
146	226	1315
147	228	1313
148	229	1312
149	231	1310
150	232	1308
151	234	1306
152	235	1305
153	237	1304
154	239	1303
155	240	1302
156	242	1300
157	243	1298
158	245	1296
159	246	1294
160	248	1292
161	249	1291
162	251	1289
163	252	1287
164	254	1285
165	255	1283
166	256	1281
167	258	1279
168	259	1277
169	261	1275
170	262	1273
171	264	1271
172	265	1269
173	267	1268
174	268	1266
175	270	1264
176	271	1262
177	272	1260
178	274	1258
179	275	1257
180	277	1255
181	278	1253
182	280	1252
183	282	1250
184	282	1245
185	283	1242
186	285	1240
187	286	1239
188	288	1237
189	289	1235
190	291	1234
191	292	1232
192	294	1230
193	295	1229
194	297	1228
195	299	1226
196	300	1224
197	302	1223
198	303	1221
199	305	1220
200	306	1218
201	308	1217
202	309	1215
203	311	1214
204	312	1213
205	314	1211
206	315	1209
207	317	1208
208	318	1206
209	320	1205
210	321	1203
211	322	1199
212	324	1197
213	325	1196
214	327	1194
215	328	1193
216	330	1191
217	331	1190
218	333	1188
219	334	1184
220	335	1183
221	337	1181
222	338	1179
223	339	1177
224	341	1176
225	343	1174
226	344	1173
227	346	1171
228	347	1170
229	349	1168
230	350	1166
231	352	1165
232	353	1163
233	355	1162
234	356	1160
235	358	1159
236	359	1158
237	361	1156
238	362	1155
239	364	1153
240	365	1151
241	367	1149
242	368	1148
243	370	1147
244	371	1145
245	373	1144
246	374	1143
247	376	1141
248	377	1140
249	379	1138
250	380	1136
251	382	1135
252	383	1133
253	385	1132
254	387	1130
255	388	1129
256	390	1128
257	391	1126
258	393	1124
259	394	1123
260	396	1121
261	397	1120
262	399	1118
263	400	1116
264	402	1116
265	403	1114
266	405	1113
267	406	1111
268	408	1109
269	409	1108
270	411	1106
271	412	1105
272	414	1103
273	415	1102
274	417	1101
275	419	1100
276	421	1098
277	422	1097
278	424	1095
279	425	1094
280	427	1092
281	428	1091
282	430	1089
283	431	1088
284	433	1087
285	435	1086
286	436	1084
287	438	1082
288	439	1081
289	440	1079
290	442	1077
291	443	1076
292	445	1074
293	446	1073
294	448	1072
295	450	1070
296	451	1068
297	453	1067
298	454	1065
299	456	1064
300	457	1062
301	458	1060
302	460	1058
303	461	1057
304	463	1055
305	464	1054
306	466	1052
307	467	1051
308	469	1049
309	471	1048
310	472	1047
311	474	1045
312	475	1043
313	477	1042
314	478	1040
315	480	1039
316	481	1037
317	483	1036
318	484	1034
319	486	1033
320	487	1031
321	489	1029
322	490	1028
323	492	1026
324	493	1025
325	495	1023
326	496	1021
327	498	1020
328	499	1018
329	500	1017
